task_id,query,level,file_name
8ef8104b-6fea-4d68-bf25-9544f256df23,"100桶水中混有1桶剧毒（饮用后24小时发作无解药），用实验兔检测（每兔可饮多桶，每桶可被多兔饮用），目标：在48小时内用最少的兔子找出毒桶，约束：无法区分中毒先后，且第二次实验需等待24小时，问最少需要几只兔子？",2,"
4cc2e0f7-f998-4617-b77d-ab6b762e8724,"你雇人工作7天，手上仅有一根金条并且需每日支付1/7根金条作为报酬。问最少将金条切成多少段，使得每天能支付当日工资？仅输出数字",1,"
b7497dab-c881-4fe0-82fa-2bfc9db29131,"在github的Huggingface transformers仓库中，2025年8月8日有一位用户反馈了关于输入音频样本和耳语反馈的问题，labels为Audio、Whisper、bug，请输出这位用户附加的网站链接。",2,"
a79fe89d-762e-4360-86d2-6d61ed7670af,"截至2024年，有一位人物2014年在南京打破某一项世界青年记录。她后续荣获'感动中国年度人物', 在该获奖视频1分31s处，显示有几个星星？回答数值即可。",3,"
8789238a-0102-4c6e-8833-d25f26d5b44f,"京东金融提供了六个板块的产品服务内容，这六个板块叫什么？请按首页提供信息从左至右，从上到下的顺序并以仅用英文逗号间隔输出",1,"
1fd59113-67be-4a5e-a898-18b6d88ae598,"舌尖上的中国第4季第2集中介绍哪个食材的根部自带清新香气？",3,"
e190a526-8286-437c-a1f4-41095e0d5b9e,"中国通史第48集中提到什么纸是印刷佛经最好的纸张？",2,"
0a5d59c4-7dee-4eef-9f95-918b34f8f3b2,"京东开源在GitHub上的基于taro开发的多端UI组件库是由哪个实验室开发的",1,"
d9330a95-6f70-46c5-b1a6-9ffcb64fb6e3,"截至2025年8月，京东零售在2025年开源了一款多智能体框架，首字母是O开头的，请问该多智能体框架，对应的pypi的包，第二早的包是在什么时候发布的？回答格式类似：2025年8月14日",2,"
1085ad3d-9a20-4c23-a2e8-9805f7a85417,"请你分析图中的人物身份并回答这个人的出生年月日。回答格式类似2025年8月14日。",2,['20240414fa6.jpg']
93c98572-e5d9-451c-9208-4e09497fa16f,"https://item.jd.com/7307091.html 商品中的'问大家'栏目里有一个提问是'案板加提手部分总共有多长'，有一个用户在2023-03-26回复了一个数字，这个数字是多少？",1,"
d88d3b99-2728-4bd2-9708-8c2637e7a7c4,"根据pdf内容回答以下问题，假设用户在秒送下单了510元的商品，门店选择了自送模式，最后在超时15个小时的情况下才送达客户，问京东会扣除门店多少钱？输出数值",2,['hqwqa3.pdf']
adf06793-fcb4-49e4-a16d-a4324c767373,"https://item.jd.com/100004538398.html 该商品商详中，有一张小图， 文字显示"薄机身扫拖床底"，图片里有一个高度数值，请问显示为多少米？仅需输出数值。",3,"
f358b311-ca7b-4c7b-a1be-5dce2f488b4a,"京东开源在GitHub上的移动端Vue组件库，在其4.3.1版本中，存在几个关闭的issue？",2,"
cd0afdd2-8354-466f-9b3b-193520e3c54d,"在地狱厨神：异国寻味的第三季第八集中，戈登穿着防化服是为了获取什么食材？",3,"
fddfe2fc-89bd-4137-be80-92b7be428c7d,"确定这首歌曲的作词人是哪一个省的，输出这个省车牌的简称",2,['大满贯.mp3']
85eaaa6d-2048-4867-a1e1-1d5dfe1cfa0a,"给定候选实体库： - 苹果: [苹果(Apple Inc.), 苹果(水果), 苹果(唱片公司)] - 乔布斯: [史蒂夫·乔布斯, 史蒂夫·乔布斯(传记电影)] - iPhone: [iPhone(手机), iPhone(应用程序)] - iOS: [iOS(操作系统), iOS(希腊岛屿)]  给定上下文："乔布斯发布了iPhone，它运行iOS系统，这让苹果在智能手机市场获得成功。" 为每个实体提及选择正确的候选实体。 输出格式：选择的候选实体（包含括号内容），用英文逗号间隔。",1,"
c62baca5-9c60-4006-a91a-841752f746d1,"视频中用户点击了一个商品链接之后鼠标最后停留在的按钮上的文本内容是什么。",2,['knoa2.mp4']
b992f68d-4a46-4ed0-a10a-721a86e9631f,"京东物流在2025-07-21发布的一篇新闻报告中提到京东物流荣获了行业唯一的什么奖项？",2,"
6efa645e-6e25-4998-a4f5-82cf0ca62fe2,"假设一个矩阵被Numpy的"F"规则展平后的结果是"[[1, 3, 2, 4]]"，这个矩阵的原矩阵是什么？使用Numpy的matrix格式输出, 以np.开头。",1,"
089698c2-5459-4e00-94e1-1f3593e39515,"2025.08.26 上午11点左右京东官方微博发布了一条微博进行七夕活动推广，具体的线下地址是什么，请用原文内容回答。",2,"
ff1a46cc-3d80-4db3-831d-360bcbae5776,"观察图片中的人物画像，他是某朝的开国宰相，请问该朝代统治了多少年",2,[xada2.png]
9a820b5e-67ad-47b8-9c2a-1867ee49d64a,"披荆斩棘第5季的《记得》舞台上唱第一句歌词的人的出生年份是多少？",3,"
cd920572-2610-418b-9310-0ac8e2a6d6ba,"京东科技官网提到的使命愿景中的定位是什么？",1,"
5756956a-3fa4-4098-88d4-5ace1d1b8033,"根据京东股票报价页面，我于2020-06-18各花费10000当地本币购买JD (HKSE)和JD(NASD)，到2025-06-18 我收益为多少，单位为USD。仅输出数值，全流程小数保留两位小数。",3,"
ad6a7ec4-13ef-4f4d-8c2b-e305223f19af,"雷神扮演者克里斯海姆斯沃斯为了降低某些疾病的风险，选择直面六个人生严峻考验，这次试炼剧集由国家地理出品，其中雷神断食的时候，科普介绍食物不足的时候脂肪会被送入肝脏产生什么物质",2,"
16aaa753-826b-4d3e-b1bd-0b98d34d5023,"https://item.jd.com/3166589.html中的商品生产商诞生在多少年。只输出数字",2,"
f0321476-40c0-4596-978c-4fe075f5fcba,"京东于某年首次入榜《财富》全球500强，该年百度百科页最早的贡献者于2013-10-15编辑了词条，其中一个词条是关于四个字的人名，描述其为哪个城市的人？格式为：XX市，例如北京市",3,"
34f2757d-94af-48b6-9d1b-400183c73544,"舌尖上的中国第4季第1集中淮扬刀客一般用什么刀法来处理鸭胗？答案以xx刀法输出",3,"
c5d7a455-2d2a-4e12-a76d-3c79eff0278a,"舌尖上的中国第4季第1集中台湾台南篇第一个介绍的鱼种类是什么？",2,"
0123aafb-acfc-4fa0-a120-fe7065345bab,"Numpy 2.0.x版本仓库中的TESTS.rst文件包含有numpy.test测试信息。根据这个文件，如果需要运行仅显示已运行测试的信息消息的标准测试，应该使用什么测试命令？输出格式为单条numpy.test命令，参数为str或int。",3,"
6a58586d-e4ab-4b3e-8efd-87b0fcab5306,"识别歌词中出现的第一个数字是多少，输出这个数字的个位数和十位数相加的和",1,['辣妹子辣,mp3']
f65fe3ea-2576-4742-a00f-1059efabacb9,"pdf中介绍的门店SaaS服务的功能中，进行仓配管理的是属于哪个功能模块下？",2,['xasd5.pdf']
45fbed93-c012-4107-aa9b-fc4719620e97,"京东零售在2025年开源了一个多智能体框架，叫做OxyGent，requirements.txt的Commits，存在一个Aug 7, 2025的update，输出他的完整评论备注。",2,"
37d463ac-5fa2-4614-a288-a69dcf56670f,"https://item.jd.com/100086113628.html中的商品的商品编号是多少？",1,"
b9f64eb4-edc9-48e8-8fdd-ed4f22939871,"2025年的一篇关于Tool Dependency Graphs for Function Calling的论文，分析论文Agent在ToolBench的Hard上面，应用Qwen2.5-32B比ReAct的TSR高多少？输出数值即可。",2,"
b8f40836-b585-472f-8bf6-58e0ccdcc706,"https://item.jd.com/1408553.html的商品详情中包含一张图片，内容是产品的颜色分类，请输出全部3种分类（按图片所示顺序），使用","分隔",3,"
2822610a-da1a-4433-a4eb-9d810d95e8fe,"在京东"价格保护险"规则PDF文档中，价保申请图片中显示商品标题是什么？。仅回答显示的标题，不包含空格等特殊字符。",2,['help_1756091590654.pdf']
08d26a34-631a-4557-849e-90f5ae735b33,"在地狱厨神：异国寻味的第三季第一集中，戈登和一个做传统玉米饼的行家见面后不久开始研磨一种种子，这个种子名称是什么，请回答英文",2,"
c6097c22-3a28-4d8e-bf92-312807299bcf,"孤独的美食家第六季第十集中，五郎吃完炸竹荚鱼套餐临走前老板娘说什么食物晚上才提供？",2,"
dc9a1b0b-33fd-440d-a9d5-8ae7239b56ce,"在人生一串第一季第二集中，介绍的脑花使用哪两种食材去腥的？两个食材用逗号间隔。",3,"
19700377-a20f-4af4-a74f-d4e5ea7865bb,"京东抗疫"五件套"被国家博物馆永久收藏，据国博收藏证书显示，其为2020第020号，总第几号？",2,"
d77326c7-9492-45f1-82e3-8400dc5b4626,"京东零售云在产业优化提效上提供了哪些解决方案？请按从左至右，从上到下的顺序并以仅用英文逗号间隔输出",1,"
fa13876f-2d91-404a-9d17-0c8e0e71a121,"在Apache Spark编号为#51653的Pull Request中，根据开发人员的描述，除了data_type_array之外，还修改了哪个重要字段？仿造data_type_array格式直接输出字符串。",1,"
c4cc8a2f-1e02-44f1-9205-a8596697dbae,"乘风破浪的姐姐6里面初舞台上祝绪丹获得了什么评级？",2,"
e1dfeaad-7241-4ce4-86fa-bfee94942ae2,"京东科技官网中的社会责任板块展示了京东科技怎么样的社会责任？十二个字组成并且仅用英文逗号做分隔。",1,"
cc0c36e6-d27e-4743-90d1-d3d275fd9fcf,"截至2025年8月25号athropics发布的claude-code在github上的tags版本有多少个？",1,"
c34cfc4e-c849-4471-b769-962ea2a5af65,"孤独的美食家第四季第九集中，五郎在一家做中国菜的饭馆里点了一道葱姜油蒸鸡，老板推荐他点什么部位？",2,"
462532cf-f3cb-49df-b164-e402d463c5ff,"京东零售在2025年开源了一个多智能体框架，叫做OxyGent，他的pypi版本Release history显示2025年七月发布了几个版本？",2,"
798d58a0-8e10-4f74-8bb3-d63e7478e16b,"在文件目录中，log文件数量",1,['202504/']
56c0abfa-7701-4bac-818b-1ba2023e3584,"https://item.jd.com/100108709839.html中的商品提供超过7种颜色选择，回答是或否",1,"
0815afce-b0a9-4811-b325-379161f515d6,"上海上汽国际赛车场，举办过多个比赛，包括F1，该赛车场的正赛最快圈速的创造者获得过几次一级方程式世界车手冠军，用阿拉伯数字回答。（截止到2025年8月份）",1,"
6c3d62ee-23df-455a-bb3c-7fe7bf79395a,"中国首位翼装飞行穿越张家界天门洞的运动员是在什么年份入选了国家滑翔伞队，仅输出数字。",1,"
c073c045-4a6f-46ee-b51c-adc5f84f831b,"https://item.jd.com/1378536.html 该商品"问大家"中，2017-11-03在有位买家用一个游戏回复一个关于游戏的问题，结合维基百科记载，该游戏内某张南美山岳地图的占地面积为多少平方米？仅需输出数值。",3,"
53dec86d-b658-40c7-973e-838fd1d610e5,"京东集团于哪一年份推出了官方吉祥物Joy，仅输出数字。",1,"
a29f2a86-89dc-45ff-9959-d2607d032d79,"https://item.jd.com/100066625097.html中的商品材质是什么",1,"
1fe92111-303c-4362-b5c7-9f9c51af8b3b,"根据百度百科，在石炭纪的重要昆虫类群中，有一种延续至今的类群，其英文通用名可以被拆分为两个单词，输出其中可以表示另一种昆虫类群的单词。",1,"
c904400d-2138-4e98-9379-94bbaec5dbb2,"京东于某年首次入榜《财富》全球500强，该年百度百科页最早的贡献者叫什么？",2,"
f1ac188d-9ee9-4d66-bce2-e691ed192cab,"2018感动中国人物，有哪位人物在紧急情况下喊出了六个字，并且要求仅回答这六个字，去除标点符号。",1,"
5e4456b4-2c9e-482a-bd48-c6c920595bff,"Django 5.0.x稳定版支持的最低Python版本是什么？直接输出"3.x"的格式",1,"
45a3c412-045b-463a-9e82-8e7ff701c8af,"图片中黄色区域数值之和为多少。仅回答数值。",1,['aec