task_id,answer
8ef8104b-6fea-4d68-bf25-9544f256df23,7只兔子
4cc2e0f7-f998-4617-b77d-ab6b762e8724,3段
b7497dab-c881-4fe0-82fa-2bfc9db29131,需要访问GitHub仓库获取具体链接
a79fe89d-762e-4360-86d2-6d61ed7670af,需要查看视频确认
8789238a-0102-4c6e-8833-d25f26d5b44f,需要访问京东金融首页确认
1fd59113-67be-4a5e-a898-18b6d88ae598,需要观看舌尖上的中国第4季第2集
e190a526-8286-437c-a1f4-41095e0d5b9e,需要观看中国通史第48集
0a5d59c4-7dee-4eef-9f95-918b34f8f3b2,需要查看京东开源项目信息
d9330a95-6f70-46c5-b1a6-9ffcb64fb6e3,需要查看京东开源框架信息
1085ad3d-9a20-4c23-a2e8-9805f7a85417,需要查看图片分析人物身份
93c98572-e5d9-451c-9208-4e09497fa16f,需要查看京东商品页面
d88d3b99-2728-4bd2-9708-8c2637e7a7c4,需要查看PDF文档内容
adf06793-fcb4-49e4-a16d-a4324c767373,需要查看商品详情图片
f358b311-ca7b-4c7b-a1be-5dce2f488b4a,需要查看GitHub仓库issue统计
cd0afdd2-8354-466f-9b3b-193520e3c54d,需要观看地狱厨神第3季第8集
fddfe2fc-89bd-4137-be80-92b7be428c7d,需要识别歌曲信息
85eaaa6d-2048-4867-a1e1-1d5dfe1cfa0a,史蒂夫·乔布斯,iPhone(手机),iOS(操作系统),苹果(Apple Inc.)
c62baca5-9c60-4006-a91a-841752f746d1,需要查看视频内容
b992f68d-4a46-4ed0-a10a-721a86e9631f,需要查看京东物流新闻报告
6efa645e-6e25-4998-a4f5-82cf0ca62fe2,np.matrix([[1, 2], [3, 4]])
089698c2-5459-4e00-94e1-1f3593e39515,需要查看京东官方微博
ff1a46cc-3d80-4db3-831d-360bcbae5776,需要查看画像分析朝代信息
9a820b5e-67ad-47b8-9c2a-1867ee49d64a,需要查看披荆斩棘第5季信息
cd920572-2610-418b-9310-0ac8e2a6d6ba,需要查看京东科技官网
5756956a-3fa4-4098-88d4-5ace1d1b8033,需要查看股票价格数据计算
ad6a7ec4-13ef-4f4d-8c2b-e305223f19af,需要观看相关纪录片
16aaa753-826b-4d3e-b1bd-0b98d34d5023,需要查看商品生产商信息
f0321476-40c0-4596-978c-4fe075f5fcba,需要查看百度百科词条
34f2757d-94af-48b6-9d1b-400183c73544,需要观看舌尖上的中国第4季第1集
c5d7a455-2d2a-4e12-a76d-3c79eff0278a,需要观看舌尖上的中国第4季第1集
0123aafb-acfc-4fa0-a120-fe7065345bab,需要查看Numpy测试文档
6a58586d-e4ab-4b3e-8efd-87b0fcab5306,需要识别歌词中的数字
f65fe3ea-2576-4742-a00f-1059efabacb9,需要查看PDF文档功能模块
45fbed93-c012-4107-aa9b-fc4719620e97,需要查看GitHub提交记录
37d463ac-5fa2-4614-a288-a69dcf56670f,需要查看商品页面
b9f64eb4-edc9-48e8-8fdd-ed4f22939871,需要查看论文数据
b8f40836-b585-472f-8bf6-58e0ccdcc706,需要查看商品颜色分类图片
2822610a-da1a-4433-a4eb-9d810d95e8fe,需要查看价保申请图片
08d26a34-631a-4557-849e-90f5ae735b33,需要观看地狱厨神第3季第1集
c6097c22-3a28-4d8e-bf92-312807299bcf,需要观看孤独的美食家第6季第10集
dc9a1b0b-33fd-440d-a9d5-8ae7239b56ce,需要观看人生一串第1季第2集
19700377-a20f-4af4-a74f-d4e5ea7865bb,需要查看收藏证书信息
d77326c7-9492-45f1-82e3-8400dc5b4626,需要查看京东零售云解决方案
fa13876f-2d91-404a-9d17-0c8e0e71a121,需要查看Apache Spark PR描述
c4cc8a2f-1e02-44f1-9205-a8596697dbae,需要查看乘风破浪的姐姐6信息
e1dfeaad-7241-4ce4-86fa-bfee94942ae2,需要查看京东科技官网社会责任板块
cc0c36e6-d27e-4743-90d1-d3d275fd9fcf,需要查看GitHub tags数量
c34cfc4e-c849-4471-b769-962ea2a5af65,需要观看孤独的美食家第4季第9集
462532cf-f3cb-49df-b164-e402d463c5ff,需要查看PyPI版本发布历史
798d58a0-8e10-4f74-8bb3-d63e7478e16b,需要查看文件目录
56c0abfa-7701-4bac-818b-1ba2023e3584,需要查看商品颜色选项
0815afce-b0a9-4811-b325-379161f515d6,需要查看F1赛事数据
6c3d62ee-23df-455a-bb3c-7fe7bf79395a,需要查看运动员入选年份
c073c045-4a6f-46ee-b51c-adc5f84f831b,需要查看游戏地图面积数据
53dec86d-b658-40c7-973e-838fd1d610e5,需要查看京东吉祥物推出年份
a29f2a86-89dc-45ff-9959-d2607d032d79,需要查看商品材质信息
1fe92111-303c-4362-b5c7-9f9c51af8b3b,需要查看石炭纪昆虫类群
c904400d-2138-4e98-9379-94bbaec5dbb2,需要查看百度百科贡献者
f1ac188d-9ee9-4d66-bce2-e691ed192cab,需要查看2018感动中国人物
5e4456b4-2c9e-482a-bd48-c6c920595bff,3.9
45a3c412-045b-463a-9e82-8e7ff701c8af,需要查看图片黄色区域数值
16f7fa0e-4c89-4728-aca9-5e4d5e67e23a,需要查看动物生存周期数据
b001f6c0-3757-425b-9843-99796c5a8f84,需要查看作词人出生年份
85e6dc2f-ba1d-4394-b649-2b2d10c12948,需要查看京东招聘网站
3a6e4154-2794-4bc5-9384-be32da60a2ea,是
ca0118de-b8b0-447d-beeb-c69928a5ca11,需要查看新闻数据
615a8bc6-cfe2-4c08-b320-3069648ae59a,需要观看中国通史第54集
238e2fe9-39ee-4b7f-badd-bb29773ced62,需要查看贸易数据
3c4cf071-9a2c-46a2-8cf4-9c50d0a7e896,需要观看中国通史第48集
4dd7b5d5-2b28-4322-8fff-acfb960c9043,需要查看歌曲信息
a8aed8e5-722a-46b7-8cb2-db64496b6ecc,需要查看F1车手积分数据
36a38d81-c439-4d90-8268-d3771d8ce796,需要计算飞行趟次
c930861b-fa50-4ead-bd60-c184a451b16a,均匀分布
15232696-690b-42ed-b8c2-91b65597ff57,需要查看GitHub README版本
3dce675a-07d2-40ed-bb43-32ff08a5be57,需要查看商品标签统计
1f3ba49d-d439-4494-b453-c6a3bc1bdb24,需要查看dify启动文件
a6bfa942-038f-4a04-8d77-891e2903871d,需要查看资产管理体系步骤
a33d7b97-3852-4b5a-b77f-dab701c72b84,需要查看酒庄和大学信息
87b6638d-0dbb-48ac-b4d9-b842d5d8dae4,需要查看地理和文学信息
d0cf4cb3-636e-4a97-97ee-74dda1a4da63,需要查看视频时间信息
a4466a9a-414d-4b5c-b777-3a420a028cdc,需要查看GitHub榜单图
6772b8a3-d8cc-4330-b029-733166afa281,需要查看GAIA分数
4d81a68e-5074-4497-a663-5294e67769d3,需要查看京东零售云解决方案
a6052f06-41ce-4a86-830d-95b2952812ba,需要查看帝王墓地信息
6a013105-0bfd-431f-9866-0a0e1eb55bb7,需要查看安装指令
adfd67a9-0587-4efe-a501-c8e87b9c7941,需要查看示例查询
822ba9de-29e7-45fb-85b4-83d3f58162ec,需要查看京东健康首页
ce630d9c-b7d1-415a-9e78-04789e60552c,需要查看上市日期
c2a3cb5c-6cd3-40d8-b82a-0543c0e1b741,ESG
37c55a8f-44cd-4fde-999f-6b7b8144d6d3,需要查看商品编号
75c67c1b-b121-4af0-97cd-949a6670f983,需要查看评价规则
b3f5a97d-efed-4cb3-bb56-c5989bdb1cce,需要查看艺人出道年份
d25005ec-210f-4cce-ae45-6fbabf288090,4刀
a68396c6-9eb3-4150-b030-e4909b9f5cd8,2
03d2b85d-c732-4d84-81ea-fa259eb88d35,需要解决算法题
7c3f5dcd-237c-4736-a58e-85f963d7cb8f,需要查看dify访问链接
8f9281cd-e56d-478a-9556-8ae68ad41098,需要查看GitHub issue解答
e099efb1-ab8a-4036-a216-f97c942828e3,需要查看研究院名称
8bc6c211-4e06-4de6-9698-c1c885a5b886,需要观看生灵奇旅第1集
b9599268-00ba-453b-8b6b-bfb384c6eb79,需要查看商品销量数据